u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
1,23,inf,inf,inf,583.0617463013673,inf
1,24,inf,inf,inf,227.86399452304877,inf
1,25,inf,inf,inf,593.5132685964148,inf
1,26,inf,inf,inf,779.0584060261464,inf
1,27,inf,inf,inf,506.43262138215385,inf
1,28,inf,inf,inf,459.6281105415551,inf
1,29,inf,inf,inf,565.1061847122185,inf
1,30,inf,inf,inf,99.24716620639605,inf
1,31,inf,inf,inf,267.0674072214728,inf
1,32,inf,inf,inf,832.6613957666106,inf
1,33,inf,inf,inf,672.6284263990037,inf
1,34,inf,inf,inf,715.8910531638177,inf
1,35,inf,inf,inf,467.0471068318484,inf
1,36,inf,inf,inf,791.9911615668448,inf
1,37,inf,inf,inf,389.9743581314033,inf
1,38,inf,inf,inf,561.1203079554331,inf
1,39,inf,inf,inf,431.0823587204654,inf
1,40,inf,inf,inf,633.3442981506978,inf
1,41,inf,inf,inf,659.3466463098148,inf
1,42,inf,inf,inf,500.79237214638164,inf
1,43,inf,inf,inf,651.2180894293401,inf
1,44,inf,inf,inf,563.9379398479942,inf
1,45,inf,inf,inf,901.3378944657769,inf
1,46,inf,inf,inf,968.2406725602885,inf
1,47,inf,inf,inf,992.6701365509089,inf
1,48,inf,inf,inf,544.7384693593798,inf
1,49,inf,inf,inf,870.7037383633999,inf
1,50,inf,inf,inf,709.5040521378296,inf
1,51,inf,inf,inf,671.107293955296,inf
1,52,inf,inf,inf,791.0726894540096,inf
1,53,inf,inf,inf,983.1256277811092,inf
1,54,inf,inf,inf,511.8925668536319,inf
1,55,inf,inf,inf,704.9609918286259,inf
1,56,inf,inf,inf,424.79289071263895,inf
1,57,inf,inf,inf,465.9109356947956,inf
1,58,inf,inf,inf,339.45839214843403,inf
1,59,inf,inf,inf,613.0619870779789,inf
1,60,inf,inf,inf,346.9899133980698,inf
1,61,inf,inf,inf,234.5229199886442,inf
1,62,inf,inf,inf,597.9782604744089,inf
1,63,inf,inf,inf,716.9449072278845,inf
1,64,inf,inf,inf,508.8270826125512,inf
1,65,inf,inf,inf,85.07055894961546,inf
1,66,inf,inf,inf,347.6147292621531,inf
1,67,inf,inf,inf,105.53672346628922,inf
1,68,inf,inf,inf,677.4614380169546,inf
1,69,inf,inf,inf,498.7183573922259,inf
1,70,inf,inf,inf,351.4342043683284,inf
1,71,inf,inf,inf,759.9506562928938,inf
1,72,inf,inf,inf,824.4592166990433,inf
1,73,inf,inf,inf,568.9086042590673,inf
1,74,inf,inf,inf,473.47333610246733,inf
1,75,inf,inf,inf,532.2339711066929,inf
1,76,inf,inf,inf,617.3888563944121,inf
1,77,inf,inf,inf,808.992583402345,inf
1,78,inf,inf,inf,460.2445002387318,inf
1,79,inf,inf,inf,72.20110802473879,inf
1,80,inf,inf,inf,663.5962627983977,inf
1,81,inf,inf,inf,476.59206875482096,inf
1,82,inf,inf,inf,768.8465386538461,inf
1,83,inf,inf,inf,114.49017425089369,inf
1,84,inf,inf,inf,545.6968022629416,inf
1,85,inf,inf,inf,589.5125104694556,inf
1,86,inf,inf,inf,738.4747795287257,inf
1,87,inf,inf,inf,983.5695196578633,inf
1,88,inf,inf,inf,552.4798638864588,inf
1,89,inf,inf,inf,512.4392646938757,inf
1,90,inf,inf,inf,992.5824902747378,inf
1,91,inf,inf,inf,974.9379467432786,inf
1,92,inf,inf,inf,453.0452516029718,inf
1,93,inf,inf,inf,347.55862814782773,inf
1,94,inf,inf,inf,678.8527086194766,inf
1,95,inf,inf,inf,385.3894134508627,inf
1,96,inf,inf,inf,616.8776215749766,inf
1,97,inf,inf,inf,908.0666275114398,inf
1,98,inf,inf,inf,762.990170316761,inf
1,99,inf,inf,inf,945.3470262289928,inf
1,100,inf,inf,inf,671.3516217303717,inf
1,101,inf,inf,inf,739.6925036797385,inf
1,102,inf,inf,inf,268.0690209628856,inf
1,103,inf,inf,inf,133.41664064126334,inf
1,104,inf,inf,inf,392.4601890638081,inf
